season,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name
2017-18,5.4,3,11.1,10,-5,southland,0.6,16.7,15,0.2,0.417,36,0.417,15,0.5,18,0.5,9,25,0,84,105,-5.6,8.9,8,-0.1,24,10.2,kolton-kohl-1,39,39,Center,0,0,abilene-christian,0,0,,0,12.8,23,0.438,15.2,8,36,0.417,15,24.7,240,0.1,0.049,Kolton Kohl
2018-19,6.7,5,10.8,13,-4.3,southland,-1.6,25,28,0.4,0.462,39,0.462,18,0.897,35,0.657,23,31,5,84,142,-2.6,19.7,23,0.3,18,25,kolton-kohl-1,59,67,Center,2.1,5,abilene-christian,0,0,,0,22.3,51,0.53,16.5,11,39,0.462,18,24.5,240,0.7,0.207,Kolton Kohl
2019-20,9.8,24,5.3,24,-0.2,southland,-0.3,20.7,89,1.3,0.535,213,0.535,114,0.465,99,0.717,71,31,20,84,555,0.1,9.1,44,1.6,61,24,kolton-kohl-1,299,274,Center,1.5,15,abilene-christian,0.019,4,0,0,14.5,133,0.575,12.8,38,209,0.545,114,26.2,240,2.9,0.208,Kolton Kohl
2020-21,17.6,41,6,27,6.5,southland,1.6,17.7,81,1.6,0.548,248,0.54,134,0.411,102,0.716,73,29,29,84,541,4.8,11.6,57,2,41,28.7,kolton-kohl-1,345,317,Center,1.2,12,abilene-christian,0.06,15,0.267,4,14.6,138,0.582,11.4,38,233,0.558,130,29.5,240,3.6,0.268,Kolton Kohl
Career,12.3,73,6.6,74,1.7,,0.4,19.6,213,3.5,0.528,536,0.524,281,0.474,254,0.693,176,116,54,84,1343,1.3,11.2,132,3.9,144,24.9,kolton-kohl-1,742,697,Center,1.3,32,abilene-christian,0.035,19,0.211,4,15.2,345,0.565,12.6,95,517,0.536,277,27.3,240,7.4,0.22,Kolton Kohl
2018-19,3.9,10,1.2,5,-6.9,southland,-2.3,14,55,0.9,0.556,126,0.54,68,0.619,78,0.654,51,34,2,80,498,-4.6,8.3,34,0.7,57,14.5,joe-pleasant-1,191,178,Forward,1.2,10,abilene-christian,0.111,14,0.286,4,11.1,89,0.586,18.5,37,112,0.571,64,21,220,1.6,0.127,Joe Pleasant
2019-20,6.7,23,0.7,4,-2,southland,-1.6,13.2,73,1.3,0.539,232,0.509,118,0.418,97,0.701,68,29,29,80,713,-0.4,7.9,49,1.3,76,16.3,joe-pleasant-1,318,292,Forward,1.3,17,abilene-christian,0.164,38,0.368,14,10.4,122,0.572,16.3,54,194,0.536,104,22.8,220,2.7,0.149,Joe Pleasant
2020-21,9.8,33,1.3,7,-0.1,southland,-0.1,15,84,1.8,0.5,242,0.459,111,0.368,89,0.596,53,28,26,80,662,0,11.5,69,1.3,46,18.1,joe-pleasant-1,295,287,Forward,1.7,20,abilene-christian,0.178,43,0.465,20,13.2,153,0.519,12.3,40,199,0.457,91,23.4,220,3.1,0.185,Joe Pleasant
Career,7,66,1,16,-2.6,,-1.2,14.1,212,4,0.527,600,0.495,297,0.44,264,0.652,172,91,57,80,1873,-1.4,9.3,152,3.3,179,16.5,joe-pleasant-1,804,757,Forward,1.4,47,abilene-christian,0.158,95,0.4,38,11.6,364,0.554,15.3,131,505,0.513,259,22.5,220,7.3,0.156,Joe Pleasant
2019-20,14.7,58,1.1,7,0.1,southland,0.5,8.1,47,1.5,0.531,191,0.482,92,0.487,93,0.763,71,31,28,72,753,-0.4,4.4,29,1.8,90,16.8,coryon-mason-1,274,271,Guard,2.8,37,abilene-christian,0.314,60,0.317,19,6.1,76,0.583,13.3,36,131,0.557,73,17.6,190,3.4,0.178,Coryon Mason
2020-21,17.1,60,1.1,6,2,southland,1.2,7,39,1.6,0.524,205,0.459,94,0.361,74,0.676,50,25,22,72,657,0.7,2.7,16,1.4,51,15.7,coryon-mason-1,265,250,Guard,2,24,abilene-christian,0.346,71,0.38,27,4.8,55,0.552,12.1,33,134,0.5,67,19.9,190,3,0.183,Coryon Mason
Career,15.8,118,1.1,13,1,,0.9,7.6,86,3.1,0.528,396,0.47,186,0.422,167,0.725,121,56,50,72,1410,0.1,3.6,45,3.2,141,16.3,coryon-mason-1,539,520,Guard,2.4,61,abilene-christian,0.331,131,0.351,46,5.5,131,0.567,12.7,69,265,0.528,140,18.7,190,6.4,0.181,Coryon Mason
2018-19,10.1,8,2.3,3,-8.4,southland,-4.2,13.1,16,0.3,0.542,48,0.458,22,0.375,18,0.611,11,31,2,78,155,-4.2,11,14,0.1,13,16.3,clay-gayman-1,63,63,Forward,2.7,7,abilene-christian,0.396,19,0.421,8,12,30,0.557,23.1,17,29,0.483,14,24.8,220,0.4,0.116,Clay Gayman
2019-20,13.7,32,5.4,23,2.3,southland,-0.3,19.1,77,1.1,0.577,195,0.528,103,0.441,86,0.802,69,31,11,78,521,2.6,9,41,1.8,58,25.5,clay-gayman-1,294,271,Forward,1.1,10,abilene-christian,0.287,56,0.339,19,13.7,118,0.623,15.1,42,139,0.604,84,26.1,220,3,0.229,Clay Gayman
2020-21,14.1,30,3.5,12,4.1,southland,2.1,18.4,64,1.3,0.497,163,0.405,66,0.368,60,0.867,52,26,1,78,412,2.1,6.2,23,0.9,38,20.2,clay-gayman-1,214,199,Forward,2.6,19,abilene-christian,0.558,91,0.33,30,12.1,87,0.559,16.6,38,72,0.5,36,26.6,220,2.2,0.209,Clay Gayman
Career,13.3,70,4.2,38,1.5,,0,18,157,2.8,0.541,406,0.47,191,0.404,164,0.805,132,88,14,78,1088,1.5,8.2,78,2.8,109,22.2,clay-gayman-1,571,533,Forward,1.9,36,abilene-christian,0.409,166,0.343,57,12.9,235,0.59,16.7,97,240,0.558,134,26.1,220,5.6,0.205,Clay Gayman
2019-20,9.7,10,0.6,1,-7.7,southland,-1.7,8.8,13,0.4,0.417,60,0.333,20,0.283,17,0.824,14,17,1,75,191,-6,8.4,14,0.1,22,12.1,mahki-morris-1,64,66,Guard,3.8,13,abilene-christian,0.617,37,0.27,10,8.6,27,0.47,18.1,15,23,0.435,10,21.2,184,0.5,0.112,Mahki Morris
2020-21,12.2,35,0.7,3,0.2,southland,1.7,9.7,43,1.4,0.537,150,0.44,66,0.307,46,0.674,31,29,7,75,522,-1.5,2.3,11,0.6,59,12.7,mahki-morris-1,192,173,Guard,2.6,24,abilene-christian,0.533,80,0.363,29,5.9,54,0.559,16.9,35,70,0.529,37,18.9,184,2,0.156,Mahki Morris
Career,11.5,45,0.7,4,-1.9,,0.8,9.5,56,1.8,0.502,210,0.41,86,0.3,63,0.714,45,46,8,75,713,-2.7,3.9,25,0.7,81,12.6,mahki-morris-1,256,240,Guard,2.9,37,abilene-christian,0.557,117,0.333,39,6.6,81,0.534,17.2,50,93,0.505,47,19.6,184,2.6,0.145,Mahki Morris
2017-18,24.3,16,0,0,-14.9,sun-belt,-3.7,12.5,13,0.2,0.393,28,0.321,9,0.429,12,0.833,10,18,1,72,129,-11.3,3.7,4,0,13,7.9,reggie-miller-3,32,38,Guard,1.4,3,abilene-christian,0.429,12,0.333,4,8,17,0.475,27.8,13,16,0.313,5,19,150,0.2,0.051,Reggie Miller
2019-20,18.1,64,0.6,3,-3.7,southland,0.8,10.9,50,1.3,0.345,97,0.289,28,0.423,41,0.659,27,31,16,72,592,-4.5,2.9,15,-0.2,39,7.4,reggie-miller-3,94,124,Guard,3,32,abilene-christian,0.588,57,0.193,11,6.7,65,0.404,27.4,44,40,0.425,17,13.2,150,1,0.07,Reggie Miller
2020-21,24.5,127,1,7,3.9,southland,4.2,14.3,103,2.6,0.548,124,0.46,57,0.556,69,0.623,43,29,29,72,850,-0.3,3.8,29,1.3,68,15.1,reggie-miller-3,179,229,Guard,3.7,56,abilene-christian,0.5,62,0.355,22,8.9,132,0.571,24.9,52,62,0.565,35,11.7,150,3.9,0.185,Reggie Miller
Career,22,207,0.8,10,-0.5,,2.3,12.9,166,4.1,0.452,249,0.378,94,0.49,122,0.656,80,78,46,72,1571,-2.8,3.4,48,1.1,120,11.6,reggie-miller-3,305,391,Guard,3.2,91,abilene-christian,0.526,131,0.282,37,8,214,0.497,26.2,109,118,0.483,57,12.9,150,5.1,0.131,Reggie Miller
2019-20,10.7,23,2.8,10,0.7,southland,1.6,25.9,87,1.2,0.522,138,0.478,66,0.283,39,0.59,23,31,0,77,434,-0.8,10.5,40,0.6,63,19,airion-simmons-1,167,167,Forward,3.6,28,abilene-christian,0.254,35,0.343,12,17.7,127,0.533,17.4,33,103,0.524,54,21.3,264,1.8,0.17,Airion Simmons
2020-21,13.4,31,2.5,9,1.8,southland,3.3,24,89,1.6,0.529,138,0.471,65,0.312,43,0.674,29,29,2,77,438,-1.5,6.8,27,0.6,69,18.6,airion-simmons-1,175,167,Forward,4.2,33,abilene-christian,0.319,44,0.364,16,15.1,116,0.552,17.7,34,94,0.521,49,21,264,2.2,0.205,Airion Simmons
Career,12.1,54,2.6,19,1.3,,2.4,24.9,176,2.8,0.525,276,0.475,131,0.297,82,0.634,52,60,2,77,872,-1.2,8.7,67,1.3,132,18.8,airion-simmons-1,342,334,Forward,3.9,61,abilene-christian,0.286,79,0.354,28,16.4,243,0.543,17.5,67,197,0.523,103,21.2,264,4.1,0.188,Airion Simmons
